Country Name,Year,GDP
Aruba,1994,1330167598
Aruba,1995,1320670391
Aruba,1996,1379888268
Aruba,1997,1531843575
Aruba,1998,1665363128
Aruba,1999,1722798883
Aruba,2000,1873452514
Aruba,2001,1920262570
Aruba,2002,1941094972
Aruba,2003,2021301676
Aruba,2004,2228279330
Aruba,2005,2331005587
Aruba,2006,2421474860
Aruba,2007,2623726257
Aruba,2008,2791960894
Aruba,2009,2498932961
Aruba,2010,2467703911
Aruba,2011,2584463687
Australia,1960,18593347519
Australia,1961,19666256020
Australia,1962,19911524247
Australia,1963,21527606675
Australia,1964,23787658192
Australia,1965,25962593795
Australia,1966,27288610147
Australia,1967,30421099787
Australia,1968,32687870982
Australia,1969,36659200358
Australia,1970,41304737373
Australia,1971,45183111211
Australia,1972,52003504673
Australia,1973,63782190903
Australia,1974,88906411201
Australia,1975,97226546497
Australia,1976,1.05E+11
Australia,1977,1.10E+11
Australia,1978,1.18E+11
Australia,1979,1.35E+11
Australia,1980,1.50E+11
Australia,1981,1.77E+11
Australia,1982,1.94E+11
Australia,1983,1.77E+11
Australia,1984,1.94E+11
Australia,1985,1.80E+11
Australia,1986,1.82E+11
Australia,1987,1.89E+11
Australia,1988,2.36E+11
Australia,1989,3.00E+11
Australia,1990,3.11E+11
Australia,1991,3.26E+11
Australia,1992,3.26E+11
Australia,1993,3.12E+11
Australia,1994,3.23E+11
Australia,1995,3.68E+11
Australia,1996,4.02E+11
Australia,1997,4.36E+11
Australia,1998,4.00E+11
Australia,1999,3.89E+11
Australia,2000,4.15E+11
Australia,2001,3.79E+11
Australia,2002,3.95E+11
Australia,2003,4.67E+11
Australia,2004,6.13E+11
Australia,2005,6.94E+11
Australia,2006,7.48E+11
Australia,2007,8.54E+11
Australia,2008,1.06E+12
Australia,2009,9.27E+11
Australia,2010,1.14E+12
Australia,2011,1.39E+12
Australia,2012,1.54E+12
Australia,2013,1.57E+12
Australia,2014,1.46E+12
Australia,2015,1.35E+12
Australia,2016,1.20E+12
Bahamas,1960,169803921.6
Bahamas,1961,190098039.2
Bahamas,1962,212254902
Bahamas,1963,237745098
Bahamas,1964,266666666.7
Bahamas,1965,300392156.9
Bahamas,1966,340000000
Bahamas,1967,390196078.4
Bahamas,1968,444901960.8
Bahamas,1969,528137254.9
Bahamas,1970,538423153.7
Bahamas,1971,573400000
Bahamas,1972,590900000
Bahamas,1973,670900000
Bahamas,1974,632400000
Bahamas,1975,596200000
Bahamas,1976,642100000
Bahamas,1977,713000000
Bahamas,1978,832400000
Bahamas,1979,1139800100
Bahamas,1980,1335300000
Bahamas,1981,1426500000
Bahamas,1982,1578300000
Bahamas,1983,1732800000
Bahamas,1984,2041100000
Bahamas,1985,2320699900
Bahamas,1986,2472500000
Bahamas,1987,2713999900
Bahamas,1988,2817900000
Bahamas,1989,3062000000
Bahamas,1990,3166000000
Bahamas,1991,3111160000
Bahamas,1992,3109000000
Bahamas,1993,3092000000
Bahamas,1994,3259000000
Bahamas,1995,3429000000
Bahamas,1996,3609000000
Bahamas,1997,4961119000
Bahamas,1998,5353524000
Bahamas,1999,6019972000
Bahamas,2000,6327552000
Bahamas,2001,6516651000
Bahamas,2002,6957996000
Bahamas,2003,6949317000
Bahamas,2004,7094413000
Bahamas,2005,7706222000
Bahamas,2006,7965588000
Bahamas,2007,8318996000
Bahamas,2008,8247000000
Bahamas,2009,7820000000
Bahamas,2010,7910000000
Bahamas,2011,7890000000
Bahamas,2012,10720500000
Bahamas,2013,10677200000
Bahamas,2014,10843800000
Bahamas,2015,11240000000
Bahamas,2016,11261800000
Belgium,1960,11658722591
Belgium,1961,12400145222
Belgium,1962,13264015675
Belgium,1963,14260017387
Belgium,1964,15960106681
Belgium,1965,17371457608
Belgium,1966,18651883472
Belgium,1967,19992040788
Belgium,1968,21376353113
Belgium,1969,23710735895
Belgium,1970,26849148286
Belgium,1971,29981290025
Belgium,1972,37408591330
Belgium,1973,47999363072
Belgium,1974,56333010460
Belgium,1975,66029748931
Belgium,1976,71494539498
Belgium,1977,83283328419
Belgium,1978,1.02E+11
Belgium,1979,1.17E+11
Belgium,1980,1.28E+11
Belgium,1981,1.05E+11
Belgium,1982,92588895020
Belgium,1983,87650915976
Belgium,1984,83795680815
Belgium,1985,86730038793
Belgium,1986,1.21E+11
Belgium,1987,1.50E+11
Belgium,1988,1.63E+11
Belgium,1989,1.65E+11
Belgium,1990,2.06E+11
Belgium,1991,2.12E+11
Belgium,1992,2.36E+11
Belgium,1993,2.26E+11
Belgium,1994,2.46E+11
Belgium,1995,2.90E+11
Belgium,1996,2.81E+11
Belgium,1997,2.55E+11
Belgium,1998,2.61E+11
Belgium,1999,2.60E+11
Belgium,2000,2.38E+11
Belgium,2001,2.38E+11
Belgium,2002,2.59E+11
Belgium,2003,3.19E+11
Belgium,2004,3.71E+11
Belgium,2005,3.87E+11
Belgium,2006,4.10E+11
Belgium,2007,4.72E+11
Belgium,2008,5.19E+11
Belgium,2009,4.85E+11
Belgium,2010,4.84E+11
Belgium,2011,5.27E+11
Belgium,2012,4.98E+11
Belgium,2013,5.21E+11
Belgium,2014,5.31E+11
Belgium,2015,4.55E+11
Belgium,2016,4.68E+11
Brazil,1960,15165569913
Brazil,1961,15236854859
Brazil,1962,19926293839
Brazil,1963,23021477292
Brazil,1964,21211892260
Brazil,1965,21790035117
Brazil,1966,27062716578
Brazil,1967,30591834054
Brazil,1968,33875881876
Brazil,1969,37458898244
Brazil,1970,42327600098
Brazil,1971,49204456700
Brazil,1972,58539008786
Brazil,1973,79279057731
Brazil,1974,1.05E+11
Brazil,1975,1.24E+11
Brazil,1976,1.53E+11
Brazil,1977,1.76E+11
Brazil,1978,2.01E+11
Brazil,1979,2.25E+11
Brazil,1980,2.35E+11
Brazil,1981,2.64E+11
Brazil,1982,2.82E+11
Brazil,1983,2.03E+11
